UNIQUE,ID,Name,Description,Sc_Beckmann2015,Sc_Kramer2014,Sc_Kramer2014_4sU,Sc_Matia-Gonzalez2015,Sc_Mitchell2012,Sc_Scherrer2010,Sc_Tsvetanova2010_Array,Sc_Tsvetanova2010_MS,Enzyme,Metabolism,Metabolic.Enzyme
APE2,YKL157W,APE2,"Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
APE3,YBR286W,APE3,Vacuolar aminopeptidase Y; processed to mature form by Prb1p,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
APL5,YPL195W,APL5,Delta adaptin-like subunit of the clathrin associated protein complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; suppressor of loss of casein kinase 1 function; the clathrin associated protein complex is also known as AP-3,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
APT1,YML022W,APT1,"Adenine phosphoribosyltransferase; catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis; APT1 has a paralog, APT2, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ARB1,YER036C,ARB1,"ATPase of the ATP-binding cassette (ABC) family; involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARC1,YGL105W,ARC1,"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARC18,YLR370C,ARC18,Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARC19,YKL013C,ARC19,Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARC35,YNR035C,ARC35,Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARC40,YBR234C,ARC40,Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches,YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARE2,YNR019W,ARE2,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication",no,no,no,no,no,YES,no,no,TRUE,TRUE,TRUE
ARF1,YDL192W,ARF1,"ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi; ARF1 has a paralog, ARF2, that arose from the whole genome duplication",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARF2,YDL137W,ARF2,"ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi; ARF2 has a paralog, ARF1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,FALSE,TRUE,FALSE
ARI1,YGL157W,ARI1,NADPH-dependent aldehyde reductase; utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARL1,YBR164C,ARL1,"Soluble GTPase with a role in regulation of membrane traffic; regulates potassium influx; role in membrane organization at trans-Golgi network; G protein of the Ras superfamily, similar to ADP-ribosylation factor",no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARO1,YDR127W,ARO1,"Pentafunctional arom protein; catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ARO2,YGL148W,ARO2,"Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress",YES,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ARO3,YDR035W,ARO3,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ARO4,YBR249C,ARO4,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ARO8,YGL202W,ARO8,Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis,YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ARP2,YDL029W,ARP2,Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARP3,YJR065C,ARP3,Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity,YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ARP8,YOR141C,ARP8,Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes; has mRNA binding activity,no,no,no,no,no,YES,YES,no,FALSE,FALSE,FALSE
ART10,YLR392C,ART10,Protein of unknown function that contains 2 PY motifs; ubiquinated by Rsp5p; overexpression confers resistance to arsenite; green fluorescent protein (GFP)-fusion protein localizes it to the cytoplasm; non-essential gene,no,no,no,no,no,YES,no,no,FALSE,FALSE,FALSE
ART5,YGR068C,ART5,Protein proposed to regulate endocytosis of plasma membrane proteins; regulates by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
ARX1,YDR101C,ARX1,Nuclear export factor for the ribosomal pre-60S subunit; shuttling factor which directly binds FG rich nucleoporins and facilities translocation through the nuclear pore complex; interacts directly with Alb1p; responsible for Tif6p recycling defects in the absence of Rei1; associated with the ribosomal export complex,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
ASC1,YMR116C,ASC1,G-protein beta subunit and guanine dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation,YES,YES,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ASN1,YPR145W,ASN1,"Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog, ASN2, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ASN2,YGR124W,ASN2,"Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN2 has a paralog, ASN1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
AST2,YER101C,AST2,"Lipid raft associated protein; overexpression restores Pma1p localization to lipid rafts which is required for targeting of Pma1p to the plasma membrane; sometimes classified in the medium-chain dehydrogenase/reductases (MDRs) superfamily; AST2 has a paralog, AST1, that arose from the whole genome duplication",no,no,no,no,no,YES,no,no,FALSE,FALSE,FALSE
ATG38,YLR211C,ATG38,Homodimeric subunit of autophagy-specific PtdIns-3-kinase complex I; required for the integrity of the active PtdIns-3-kinase complex I by maintaining an association between Vps15p-Vps34p and Atg14p-Vps30p subcomplexes; localizes to the pre-autophagosomal structure (PAS) in an Atg14p-dependent manner; ATG38 is non-essential but is required for macroautophagy,no,no,no,no,no,YES,no,no,FALSE,FALSE,FALSE
ATP1,YBL099W,ATP1,"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo",no,no,no,YES,no,no,no,no,FALSE,FALSE,TRUE
ATP2,YJR121W,ATP2,"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",no,no,no,YES,no,no,no,YES,TRUE,FALSE,TRUE
ATP3,YBR039W,ATP3,"Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",no,no,no,no,no,no,no,YES,FALSE,FALSE,TRUE
BAT1,YHR208W,BAT1,"Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
BAT2,YJR148W,BAT2,"Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
BCY1,YIL033C,BCY1,"Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA); PKA is a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation",no,no,no,no,no,YES,no,no,FALSE,TRUE,FALSE
BEM2,YER155C,BEM2,Rho GTPase activating protein (RhoGAP); involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence; potential GAP for Rho4p,YES,no,no,YES,YES,no,no,no,FALSE,FALSE,FALSE
BER1,YLR412W,BER1,Protein involved in microtubule-related processes; GFP-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YLR412W is not an essential gene; similar to Arabidopsis SRR1 gene,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
BFR1,YOR198C,BFR1,Component of mRNP complexes associated with polyribosomes; involved in localization of mRNAs to P bodies; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity,YES,no,YES,YES,YES,no,no,no,FALSE,FALSE,FALSE
BFR2,YDR299W,BFR2,Component of the SSU and 90S preribosomes; involved in pre-18S rRNA processing; binds to U3 snoRNA and Mpp10p; multicopy suppressor of sensitivity to Brefeldin A; expression is induced during lag phase and also by cold shock,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
BGL2,YGR282C,BGL2,"Endo-beta-1,3-glucanase; major protein of the cell wall, involved in cell wall maintenance; involved in incorporation of newly synthesized mannoprotein molecules into the cell wall",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
BIO5,YNR056C,BIO5,"Putative transmembrane protein involved in the biotin biosynthesis; responsible for uptake of 7-keto 8-aminopelargonic acid; BIO5 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis",no,no,no,no,no,YES,no,no,FALSE,FALSE,FALSE
BMH1,YER177W,BMH1,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
BMH2,YDR099W,BMH2,"14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; BMH2 has a paralog, BMH1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
BMS1,YPL217C,BMS1,"GTPase required for ribosomal subunit synthesis and rRNA processing; required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p",YES,no,no,YES,YES,no,no,no,FALSE,FALSE,FALSE
BNA3,YJL060W,BNA3,Kynurenine aminotransferase; catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
BNI5,YNL166C,BNI5,"Protein involved in organization of septins at the mother-bud neck; may interact directly with the Cdc11p septin, localizes to bud neck in a septin-dependent manner",YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
BOI1,YBL085W,BOI1,"Protein implicated in polar growth; functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog, BOI2, that arose from the whole genome duplication",YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
BRE1,YDL074C,BRE1,"E3 ubiquitin ligase; forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control; interacts with RNA-binding protein Npl3p, linking histone ubiquitination to mRNA processing; Bre1p-dependent histone ubiquitination promotes pre-mRNA splicing",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
