"name","act_state","act_sd","inact_state","inact_sd","num_scrams","mean_scram_score","scram_sd","z_raw","z_adj","diff","hmm_state_diff","scram_diff"
"Azf1p_695_744",-0.185,0.575,-0.17,0.167,3,0.223201174700855,0.222149896193883,0.0102460236501833,0.0306919176908645,0.408201174700855,0.015,0.408201174700855
"Bas1p_421_470",-0.37,0.337,0.461,0.212,4,0.548117421897706,0.150417415101887,7.71485539022096e-09,1.06882892385353e-07,0.918117421897706,0.831,0.918117421897706
"Bas1p_481_530",-0.402,0.182,-0.069,0.164,5,0.194406684524734,0.240126363111141,0.000176027128102809,0.00105457693863395,0.596406684524734,0.333,0.596406684524734
"Bbp1p_51_100",-0.059,0.152,0.307,0.205,4,-0.430861594108458,0.158420150968738,0.0193430329303312,0.052717692207665,-0.371861594108458,0.366,-0.371861594108458
"Bck2p_511_560",-0.219,0.177,0.143,0.136,4,0.0286633038227304,0.258445722180938,0.119304825369273,0.22285873278249,0.24766330382273,0.362,0.24766330382273
"Bck2p_654_703",0.035,0.132,0.42,0.134,5,-0.0267855988553344,0.234606036480097,0.697568029134362,0.782264315976982,-0.0617855988553344,0.385,-0.0617855988553344
"Bnr1p_681_730",-0.176,0.2,0.26,0.163,4,0.0211359767791262,0.473310912590294,0.215011471514833,0.336429714252622,0.197135976779126,0.436,0.197135976779126
"Boi2p_458_507",-0.123,0.204,0.241,0.215,4,-0.0587877077457181,0.403242481346369,0.686309539413326,0.779104066473683,0.0642122922542819,0.364,0.0642122922542819
"Bsp1p_109_158",-0.485,0.193,0.436,0.119,4,0.570129843000038,0.0936980705380427,3.21603841336274e-11,6.68332982776945e-10,1.05512984300004,0.921,1.05512984300004
"Bub1p_274_323",-0.036,0.212,0.422,0.145,3,0.965096904472691,0.454472555376986,3.04482676703657e-10,5.4724589191333e-09,1.00109690447269,0.458,1.00109690447269
"Bub1p_448_497",-0.032,0.14,0.297,0.135,5,0.33418310318119,0.223707441103943,0.0212710874172224,0.0556900517025705,0.36618310318119,0.329,0.36618310318119
"Bud14p_660_709",-0.572,0.198,0.359,0.146,2,0.622905315157532,0.102692978607995,5.67144744092349e-14,1.45058174931312e-12,1.19490531515753,0.931,1.19490531515753
"Bud8p_31_80",-0.48,0.184,0.13,0.166,4,0.533575080255765,0.53188519277962,1.83009042544527e-10,3.38058370255863e-09,1.01357508025576,0.61,1.01357508025576
"Bud9p_191_240",-0.259,0.114,0.18,0.176,5,0.056376840751883,0.205484425227988,0.0473018079637249,0.105556047972742,0.315376840751883,0.439,0.315376840751883
"Bud9p_231_280",0.004,0.102,0.292,0.096,5,0.605024799850171,0.382588301341008,0.000156706542939986,0.000956053679404501,0.601024799850171,0.288,0.601024799850171
"Caf120p_665_714",0.174,0.183,0.334,0.103,5,0.22541712359866,0.446403075412533,0.746398308413457,0.819067450651731,0.0514171235986595,0.16,0.0514171235986595
"Caf120p_895_944",-0.513,0.127,-0.173,0.121,5,-0.473377458997041,0.276112477302091,0.803199013339699,0.867089843946266,0.0396225410029586,0.34,0.0396225410029586
"Caf120p_915_964",-0.057,0.153,0.345,0.263,4,-0.590859214154104,0.143931219654618,0.000785796047524292,0.00387077312299003,-0.533859214154104,0.402,-0.533859214154104
"Caf120p_945_994",-0.379,0.152,0.042,0.089,4,-0.184980817548518,0.461897167050528,0.222351495839686,0.341346215995123,0.194019182451482,0.421,0.194019182451482
"Caf120p_975_1024",-0.184,0.15,0.112,0.114,5,-0.352140847201526,0.132054600630651,0.290267360383483,0.416008178135811,-0.168140847201526,0.296,-0.168140847201526
"Caf20p_27_76",-1.686,0.135,0.183,0.88,4,0.753411075326412,0.158858009510433,3.95318916013632e-53,8.76290263830219e-51,2.43941107532641,1.869,2.43941107532641
"Cat8p_110_159",-0.138,0.214,0.726,0.161,5,0.712872270873612,0.168162134836923,8.71659240347961e-08,1.07343221265073e-06,0.850872270873612,0.864,0.850872270873612
"Cat8p_918_967",-0.088,0.169,0.317,0.146,5,0.279895737440969,0.371043577261548,0.0206726805603445,0.0549537831762069,0.367895737440969,0.405,0.367895737440969
"Cbc2p_148_197",-0.17,0.086,0.126,0.123,4,-0.072388609711398,0.1056983511503,0.539258523166601,0.66058379174129,0.097611390288602,0.296,0.097611390288602
"Cbf1p_281_330",0.077,0.197,0.409,0.174,5,0.42617911415354,0.189450679316439,0.0280783526322887,0.0689007546142877,0.34917911415354,0.332,0.34917911415354
"Cbk1p_11_60",-0.028,0.145,0.321,0.091,5,-0.00990096074477414,0.193841820567906,0.909368313471792,0.940482003823859,0.0180990392552259,0.349,0.0180990392552259
"Cbk1p_221_270",0.032,0.146,0.453,0.33,5,-0.0195038885411612,0.235306966290306,0.745985110761084,0.819067450651731,-0.0515038885411612,0.421,-0.0515038885411612
"Cdc25p_92_141",-0.759,0.183,-0.191,0.253,2,0.306496264576729,0.469187778167093,2.06257209264784e-11,4.42454981164780e-10,1.06549626457673,0.568,1.06549626457673
"Cha4p_86_135",-0.03,0.139,0.707,0.198,5,0.576381914270084,0.0906594511970051,0.000136797777758948,0.000866385925806672,0.606381914270084,0.737,0.606381914270084
"Chs1p_211_260",-0.242,0.191,0.081,0.151,5,-0.0805823107485846,0.303738653396837,0.309986936363522,0.436740069240979,0.161417689251415,0.323,0.161417689251415
"Chs1p_241_290",-0.002,0.23,0.116,0.129,5,-0.0567689846025063,0.481446267883005,0.730489919809813,0.809471234435447,-0.0547689846025063,0.118,-0.0547689846025063
"Chs3p_11_60",-0.101,0.144,0.35,0.115,5,-0.220688737862447,0.120418854814893,0.451574990939234,0.586518298778497,-0.119688737862447,0.451,-0.119688737862447
"Cin5p_117_166",-0.353,0.152,-0.07,0.106,2,-0.12079822055075,0.600076149553265,0.144165991384882,0.253625355214145,0.23220177944925,0.283,0.23220177944925
"Cin5p_246_295",-0.15,0.162,0.531,0.276,5,0.548519162363413,0.169671820123294,1.11595616804326e-05,9.05013233839965e-05,0.698519162363413,0.681,0.698519162363413
"Cin8p_894_943",0.115,0.176,0.621,0.248,4,0.584761601703619,0.391456642999207,0.00313071525153276,0.0114391518806005,0.469761601703619,0.506,0.469761601703619
"Clg1p_381_430",-0.765,0.154,-0.169,0.21,5,-0.334617807014207,0.477586725183085,0.00679099722521871,0.0218164886703886,0.430382192985793,0.596,0.430382192985793
"Clg1p_51_100",-0.881,0.103,-0.485,0.255,4,-0.201716971778488,0.580291048854884,1.93376082041034e-05,0.000149529179717776,0.679283028221512,0.396,0.679283028221512
"Cmr2p_3_52",-0.102,0.107,0.262,0.157,5,0.0557072367405565,0.218306256155537,0.321240329083237,0.447850773250215,0.157707236740556,0.364,0.157707236740556
"Cmr3p_53_102",-0.252,0.219,0.149,0.096,4,-0.194044268846339,0.272857189881762,0.715471833297062,0.795633393214961,0.0579557311536608,0.401,0.0579557311536608
"Crn1p_602_651",0.12,0.141,0.73,0.201,5,0.656354635869262,0.241042551364343,0.000742337919968818,0.00371168959984409,0.536354635869262,0.61,0.536354635869262
"Csr2p_1038_1087",-0.202,0.128,0.046,0.165,3,-0.080867981053437,0.382008764280756,0.446137892081849,0.582389590484075,0.121132018946563,0.248,0.121132018946563
"Csr2p_1058_1107",-0.108,0.162,0.278,0.142,4,-0.113549045602992,0.262541819707713,0.972158551335445,0.980881627548394,-0.00554904560299201,0.386,-0.00554904560299201
"Cth1p_22_71",-1.735,0.173,0.338,0.534,4,0.811596675012837,0.227634450531081,9.71932729164557e-58,6.4633526489443e-55,2.54659667501284,2.073,2.54659667501284
"Cue5p_101_150",-0.855,0.314,0.654,0.266,3,0.443925753796887,0.228990036170412,3.09164333644145e-16,9.34519463060711e-15,1.29892575379689,1.509,1.29892575379689
"Cyr1p_141_190",-0.178,0.14,0.251,0.163,5,0.253559412275396,0.118463240889428,0.00664105004035833,0.0215005112943473,0.431559412275396,0.429,0.431559412275396
"Dal81p_198_247",-0.705,0.125,-0.191,0.234,4,-0.216923554073528,0.247867498847533,0.00214205186998763,0.00858111140687816,0.488076445926472,0.514,0.488076445926472
"Dbp1p_51_100",-0.36,0.193,0.15,0.166,5,0.15585746732892,0.0904185150469627,0.00117645975192736,0.00539548782780477,0.51585746732892,0.51,0.51585746732892
"Dbp1p_510_559",-0.17,0.221,0.262,0.186,4,0.556321622853688,0.414826703383956,4.91794822902938e-06,4.36058076307272e-05,0.726321622853688,0.432,0.726321622853688
"Dbp1p_568_617",-0.538,0.135,-0.142,0.182,5,-0.0675413982496309,0.182330513509566,0.0030865218187752,0.0113399834778205,0.470458601750369,0.396,0.470458601750369
"Dcp2p_352_401",-0.61,0.127,-0.208,0.177,3,-0.346677171353067,0.293449978680509,0.0976833566250009,0.186673361096787,0.263322828646933,0.402,0.263322828646933
"Dcp2p_402_451",-0.06,0.099,0.208,0.129,5,0.362829456945392,0.158429664884979,0.00782754027397258,0.0244380952215576,0.422829456945392,0.268,0.422829456945392
"Dcp2p_872_921",-0.034,0.292,0.087,0.097,4,-0.198796248361659,0.344902722079217,0.299969330002385,0.424424690322523,-0.164796248361659,0.121,-0.164796248361659
"Dcp2p_892_941",-0.055,0.165,0.266,0.159,5,0.214076103619433,0.184852892053437,0.0905743743026426,0.177152820327227,0.269076103619433,0.321,0.269076103619433
"Ded1p_21_70",-0.489,0.224,-0.222,0.165,5,0.0341773613750816,0.102182356721302,0.000999861187595557,0.0047493406410789,0.523177361375082,0.267,0.523177361375082
"Ded1p_41_90",-0.279,0.155,0.141,0.157,5,-0.134994084449821,0.178941049607451,0.365075230252137,0.498511351370988,0.144005915550179,0.42,0.144005915550179
"Ded1p_555_604",-0.823,0.182,-0.291,0.132,5,-0.0767833075138042,0.318621546445382,2.68715205179915e-06,2.44788508828279e-05,0.746216692486196,0.532,0.746216692486196
"Def1p_485_534",-0.787,0.204,-0.362,0.252,5,-0.388876743200226,0.285769727888764,0.0122788312227874,0.0361301892174938,0.398123256799774,0.425,0.398123256799774
"Def1p_512_561",-0.808,0.155,-0.402,0.161,5,-1.1034448510169,0.75210830384633,0.0631372139483557,0.132137408638254,-0.295444851016897,0.406,-0.295444851016897
"Def1p_562_611",-0.429,0.163,0.209,0.162,2,0.181918620642569,0.137883368761886,0.000121826412717646,0.000786549169487718,0.610918620642569,0.638,0.610918620642569
"Def1p_598_647",-1.49,0.109,-1.164,0.201,5,-1.41596798812465,0.457953642110216,0.641480186581234,0.753723710729063,0.0740320118753517,0.326,0.0740320118753517
"Def1p_689_738",-1.376,0.124,-0.944,0.244,5,-0.430748276110959,0.671973004408526,2.76058510585017e-09,4.172247944069e-08,0.945251723889041,0.432,0.945251723889041
"Dhh1p_436_485",-0.046,0.092,0.178,0.093,5,-0.0114449128683338,0.334088742963946,0.827945740217478,0.882346021225358,0.0345550871316662,0.224,0.0345550871316662
"Dhh1p_457_506",-0.293,0.181,0.021,0.126,5,-0.256889720196865,0.274090667682093,0.820331608261086,0.877193574500316,0.0361102798031347,0.314,0.0361102798031347
"Dig1p_205_254",-1.029,0.115,-0.647,0.231,3,-0.481073399645115,0.653639372566017,0.000568470300605968,0.00295338085861694,0.547926600354885,0.382,0.547926600354885
"Dig1p_225_274",-0.439,0.162,-0.03,0.194,5,-0.53615224649828,0.159908379935512,0.541168590338129,0.66058379174129,-0.0971522464982796,0.409,-0.0971522464982796
"Doa4p_422_471",-0.015,0.17,0.414,0.068,4,0.352695281921038,0.291901577735474,0.0207419542514706,0.0549537831762069,0.367695281921038,0.429,0.367695281921038
"Dsf2p_104_153",0.345,0.146,0.61,0.04,3,0.442587599595946,0.155086749517344,0.539357410921731,0.66058379174129,0.0975875995959457,0.265,0.0975875995959457
"Dsk2p_303_352",-0.196,0.216,0.274,0.178,5,0.092673470318597,0.221108132442547,0.0694264053797932,0.142936716958398,0.288673470318597,0.47,0.288673470318597
"Dsn1p_111_160",-0.214,0.154,0.658,0.236,3,0.171050128133726,0.0875908668714176,0.0154436978342004,0.043889141280954,0.385050128133726,0.872,0.385050128133726
"Dsn1p_176_225",-0.421,0.114,0.114,0.175,5,0.0283112475794722,0.419487882957578,0.00471363589772388,0.0162412843108103,0.449311247579472,0.535,0.449311247579472
"Eaf7p_57_106",-0.686,0.233,0.681,0.194,5,0.706222548260243,0.116342355079102,2.01415876634472e-18,8.92943719746158e-17,1.39222254826024,1.367,1.39222254826024
"Eap1p_299_348",-0.485,0.212,0.794,0.134,5,0.716402364703098,0.138768833324519,4.14645454157804e-14,1.10295690805976e-12,1.2014023647031,1.279,1.2014023647031
"Eap1p_329_378",-0.841,0.16,0.773,0.233,5,0.5884761725143,0.134979457823036,2.45427215278435e-19,1.25545460123199e-17,1.4294761725143,1.614,1.4294761725143
"Eap1p_349_398",-0.178,0.184,0.839,0.118,5,0.66227917167279,0.0942139487286656,1.25702736486899e-07,1.49271999578192e-06,0.84027917167279,1.017,0.84027917167279
"Eap1p_369_418",-0.404,0.191,0.835,0.233,5,0.477544353619004,0.0834224298390567,2.94721892754434e-08,3.84294232709213e-07,0.881544353619004,1.239,0.881544353619004
"Eap1p_539_588",-0.278,0.166,0.105,0.128,3,-0.731915998488181,0.640358686291509,0.00430448360368704,0.0151454052722322,-0.453915998488181,0.383,-0.453915998488181
"Eap1p_579_628",-0.012,0.12,0.173,0.12,4,-0.513654471378662,0.39241960059049,0.00160390397734036,0.00692594899306066,-0.501654471378662,0.185,-0.501654471378662
"Ebs1p_742_791",0.081,0.115,0.502,0.12,5,0.207014243336239,0.252287769620191,0.428024520219991,0.562522343767379,0.126014243336239,0.421,0.126014243336239
"Ebs1p_835_884",-0.417,0.184,-0.034,0.178,4,-0.268956501224261,0.292422464796068,0.351785594584248,0.484342485297154,0.148043498775739,0.383,0.148043498775739
"Ecm22p_243_292",-0.071,0.067,0.221,0.147,5,0.005696152172669,0.291974493089274,0.629531357643402,0.74490810112609,0.076696152172669,0.292,0.076696152172669
"Ecm30p_1116_1165",0.341,0.117,0.731,0.092,5,0.0992993153833996,0.278167414558258,0.128461784073961,0.232771352613581,-0.2417006846166,0.39,-0.2417006846166
"Ecm30p_772_821",-0.117,0.152,0.191,0.173,5,-0.0534775179329655,0.197769488005792,0.689502927326388,0.779125843369966,0.0635224820670345,0.308,0.0635224820670345
"Edc1p_126_175",-1.048,0.108,0.224,0.261,4,0.577851365893823,0.10586324964567,1.51776720360485e-24,9.1755926399748e-23,1.62585136589382,1.272,1.62585136589382
"Edc2p_96_145",-1.067,0.297,0.32,0.288,4,0.565991066277296,0.101470968352079,9.53827616250712e-25,6.34295364806723e-23,1.6329910662773,1.387,1.6329910662773
"Ent1p_209_258",-0.291,0.178,0.11,0.203,5,-0.125161011815301,0.525695975867355,0.296921636001466,0.422811323214079,0.165838988184699,0.401,0.165838988184699
"Ent1p_229_278",-0.834,0.205,-0.241,0.198,4,-0.453866113293675,0.541500997972008,0.0168079341272021,0.047161502930757,0.380133886706325,0.593,0.380133886706325
"Ent1p_259_308",-0.626,0.416,-0.305,0.202,4,-0.242892721856088,0.256326691844122,0.0159707272107777,0.0450022609964709,0.383107278143912,0.321,0.383107278143912
"Ent1p_389_438",-0.052,0.136,0.214,0.124,5,-0.358455115097504,0.225172728171869,0.0539205957492511,0.11718037965115,-0.306455115097504,0.266,-0.306455115097504
"Ent1p_405_454",-0.164,0.152,0.145,0.126,5,-0.062324156166852,0.338749583939074,0.52249879438802,0.652144907812771,0.101675843833148,0.309,0.101675843833148
"Ent2p_228_277",-0.496,0.204,0.014,0.158,5,-0.170715292477313,0.220287601635224,0.0407658028931224,0.0951202067506189,0.325284707522687,0.51,0.325284707522687
"Ent2p_248_297",-0.13,0.215,0.304,0.098,5,-0.302488304512422,0.270045024433127,0.277975266162055,0.402731050104067,-0.172488304512422,0.434,-0.172488304512422
"Ent2p_538_587",-0.331,0.126,0.074,0.136,5,-0.420276908214216,0.173648728876145,0.574447023761251,0.688831146910511,-0.089276908214216,0.405,-0.089276908214216
"Epo1p_101_150",-0.719,0.179,-0.283,0.259,3,-0.418904131854989,0.0713631138630572,0.0590962072408887,0.125958262228176,0.300095868145011,0.436,0.300095868145011
"Epo1p_281_330",-0.384,0.14,-0.098,0.146,4,-0.431292843773845,0.273629174035452,0.766121359488395,0.835197875507841,-0.0472928437738446,0.286,-0.0472928437738446
"Epo1p_361_410",-0.323,0.174,0.224,0.222,5,-0.130000007898808,0.119729020336908,0.224790167228137,0.342672721965918,0.192999992101192,0.547,0.192999992101192
"Epo1p_61_110",-0.435,0.08,-0.047,0.138,5,-0.23026428843634,0.306322133015034,0.19784985460527,0.314761132326566,0.20473571156366,0.388,0.20473571156366
"Esl2p_21_70",0.063,0.114,0.277,0.143,4,0.314816565630425,0.441359410714598,0.113234596488971,0.212714708093689,0.251816565630425,0.214,0.251816565630425
"Euc1p_91_140",-0.15,0.5,0.16,0.208,3,0.658166345622899,0.151155494013575,3.71467344073943e-07,4.11709639681954e-06,0.808166345622899,0.31,0.808166345622899
"Exo84p_460_509",0.255,0.123,0.514,0.106,3,0.451394799679944,0.0195045915587684,0.216740908581368,0.33675865468834,0.196394799679944,0.259,0.196394799679944
"Fab1p_421_470",-0.404,0.387,0.125,0.188,5,-0.0763487081107554,0.158130249548651,0.0393231779961847,0.0920771597445874,0.327651291889245,0.529,0.327651291889245
"Fab1p_471_520",-0.163,0.223,0.33,0.208,2,-0.833186912136154,0.160685130900046,2.49563459971448e-05,0.00018647157402361,-0.670186912136154,0.493,-0.670186912136154
"Fab1p_501_550",-0.051,0.169,0.449,0.191,5,0.380771457425898,0.0990503339047482,0.00661435959067025,0.0215005112943473,0.431771457425898,0.5,0.431771457425898
"Far8p_10_59",-0.182,0.31,0.226,0.233,2,0.355219932390547,0.240930172817996,0.000727797418853822,0.00366655517831661,0.537219932390548,0.408,0.537219932390548
"Fip1p_203_252",-0.196,0.107,0.037,0.187,4,-0.58306466302602,0.278361578183063,0.0149134469601882,0.0427475958126085,-0.38706466302602,0.233,-0.38706466302602
"Fip1p_263_312",-0.348,0.104,-0.151,0.142,5,-0.36768282606762,0.52881758769323,0.901476239869502,0.935228860395037,-0.0196828260676196,0.197,-0.0196828260676196
"Fip1p_278_327",-0.338,0.148,0.032,0.14,5,-0.125499652919718,0.294062083840432,0.181373521219657,0.299288812930699,0.212500347080282,0.37,0.212500347080282
"Fkh2p_440_489",-0.123,0.12,0.138,0.146,4,0.237002124191745,0.288308227497457,0.0235579988474068,0.0597941573798684,0.360002124191745,0.261,0.360002124191745
"Fmp16p_11_60",0.334,0.31,0.561,0.142,5,0.649420129200673,0.179268828872622,0.0472714393876605,0.105556047972742,0.315420129200673,0.227,0.315420129200673
"Fpk1p_231_280",-0.294,0.182,0.136,0.144,5,-0.208031295820782,0.353746520198116,0.58870953276504,0.702857880231152,0.0859687041792184,0.43,0.0859687041792184
"Fpk1p_251_300",-0.301,0.212,0.171,0.177,3,-0.0874680525811615,0.166830823415644,0.179263479660754,0.296542820831845,0.213531947418838,0.472,0.213531947418838
"Fpk1p_844_893",-0.406,0.185,0.072,0.192,4,-0.242165083203185,0.109021812023273,0.302797502709126,0.427516643952376,0.163834916796815,0.478,0.163834916796815
"Frk1p_544_593",0.054,0.253,0.145,0.083,5,0.151369578327658,0.0731182261929682,0.540264055103601,0.66058379174129,0.0973695783276584,0.091,0.0973695783276584
"Frk1p_739_788",-0.229,0.178,0.403,0.085,5,0.337983877024321,0.179384465984529,0.000362346472527722,0.00202487734647845,0.566983877024321,0.632,0.566983877024321
"Fub1p_171_220",-0.326,0.107,-0.086,0.226,5,-0.115016968882708,0.257911336699058,0.18451046224214,0.299573873891699,0.210983031117292,0.24,0.210983031117292
"Fun30p_364_413",-0.745,0.498,0.696,0.172,5,0.907307586145486,0.175459254835981,2.68734078525707e-25,2.23385202774494e-23,1.65230758614549,1.441,1.65230758614549
"Gac1p_557_606",-0.202,0.18,0.222,0.138,4,-0.254932424526221,0.395186727960068,0.739192625913641,0.813846185815516,-0.0529324245262205,0.424,-0.0529324245262205
"Gal4p_827_876",-0.298,0.223,0.309,0.289,5,0.172483412450048,0.121478766071767,0.00308495922800501,0.0113399834778205,0.470483412450048,0.607,0.470483412450048
"Gal83p_211_260",-0.305,0.163,0.038,0.163,4,-0.0766830509802875,0.186331371045213,0.150997310160394,0.260181927991716,0.228316949019712,0.343,0.228316949019712
"Gat1p_174_223",-0.317,0.11,0.14,0.17,5,0.0708132389341491,0.498921726965651,0.0147205388020386,0.0425615578406768,0.387813238934149,0.457,0.387813238934149
"Gat1p_204_253",0.328,0.093,0.462,0.355,5,0.392949331972526,0.199096963568078,0.682903687611261,0.77895532120324,0.0649493319725264,0.134,0.0649493319725264
"Gat1p_461_510",-0.212,0.165,0.444,0.109,5,0.149766077869666,0.111789519387146,0.0228845447051972,0.0587576147836146,0.361766077869666,0.656,0.361766077869666
"Gat2p_291_340",-0.11,0.114,0.266,0.138,3,0.185257949726572,0.0642175035585857,0.0633042613349141,0.132137408638254,0.295257949726572,0.376,0.295257949726572
"Gat2p_31_80",-0.311,0.16,0.28,0.174,5,-0.379968288611382,0.253132892982577,0.664447074843156,0.763138695631604,-0.0689682886113823,0.591,-0.0689682886113823
"Gat2p_51_100",0.07,0.152,0.337,0.17,5,-0.304587353050221,0.283703166339872,0.0184730635910455,0.0505538571524496,-0.374587353050221,0.267,-0.374587353050221
"Gcn4p_232_281",0.062,0.101,0.729,0.22,4,0.555329490593143,0.398752350942831,0.00191676330943086,0.00791706584330139,0.493329490593143,0.667,0.493329490593143
"Gcr2p_330_379",-0.135,0.099,0.118,0.109,4,0.0727355332506497,0.238612683633351,0.191359054859728,0.305898489138748,0.20773553325065,0.253,0.20773553325065
"Gis1p_366_415",-0.381,0.327,0.106,0.238,5,0.114994682557254,0.22359067710293,0.00181097910022024,0.00757422076507206,0.495994682557254,0.487,0.495994682557254
"Gis1p_706_755",-0.004,0.146,0.343,0.053,5,0.287414452754069,0.172402963248709,0.0668212413722602,0.138430297546894,0.291414452754069,0.347,0.291414452754069
"Gln3p_168_217",0.066,0.145,0.486,0.193,5,-0.035086452366595,0.178425966460691,0.524912449952378,0.653238881486372,-0.101086452366595,0.42,-0.101086452366595
"Gln3p_418_467",-0.085,0.149,0.167,0.137,4,-0.250616599833003,0.233474809012671,0.297569883658363,0.422829001352161,-0.165616599833003,0.252,-0.165616599833003
"Gln3p_538_587",-0.271,0.128,0.054,0.108,3,-0.0420564337349138,0.0411230261096066,0.149879044338285,0.260181927991716,0.228943566265086,0.325,0.228943566265086
"Gpb1p_443_492",-0.112,0.186,0.241,0.161,4,-0.0370062104120357,0.302406817942545,0.637155623442244,0.75245624172555,0.0749937895879643,0.353,0.0749937895879643
"Gpr1p_533_582",0.104,0.331,0.61,0.102,5,0.71947058980624,0.455185336049211,0.000108366929055378,0.000720640078218264,0.61547058980624,0.506,0.61547058980624
"Grr1p_1087_1136",-0.098,0.132,0.229,0.168,5,0.0708202625616109,0.201802286147237,0.288322620705196,0.414113483302279,0.168820262561611,0.327,0.168820262561611
"Grr1p_71_120",-0.085,0.142,0.268,0.061,3,0.105413409134913,0.0831769167124029,0.231064853778614,0.350817643294014,0.190413409134913,0.353,0.190413409134913
"Hal9p_51_100",-0.317,0.173,0.045,0.209,4,-0.0604264570083793,0.399449330741244,0.106583880445705,0.201932423066649,0.256573542991621,0.362,0.256573542991621
